|name        |ra        |dec      |trigger_time           |t90     |flnc_band_phtfluxb|flnc_band_phtfluxb_error|
|GRB090418816|17 31 12.0|-28 12 00|2009-04-18 19:35:24.918|   0.320|      6.178345e-01|            7.226465e-02|
|GRB090427644|14 00 00.0|-45 42 00|2009-04-27 15:27:00.856|   1.024|      6.360972e-01|            9.862898e-02|
|GRB120210650|03 38 36.0|-58 31 12|2012-02-10 15:35:43.281|   1.344|      7.126161e-01|            7.530142e-02|
|GRB120509619|13 01 33.6|+38 18 36|2012-05-09 14:52:02.840|   0.704|      7.252001e-01|            3.174616e-01|
|GRB170511648|10 40 09.6|+77 10 12|2017-05-11 15:33:05.264|   1.280|      8.602217e-01|            2.178359e-01|
|GRB090109332|08 38 24.0|+51 48 00|2009-01-09 07:58:29.493|   1.728|      9.284472e-01|            1.520515e-01|
|GRB150316400|01 03 33.6|+53 08 24|2015-03-16 09:36:09.199|   1.984|      9.522500e-01|            2.219143e-01|
|GRB150601904|05 18 40.8|-53 49 12|2015-06-01 21:41:10.405|   0.768|      9.621023e-01|            4.248315e-01|
|GRB150805746|21 44 19.2|-33 24 00|2015-08-05 17:54:12.510|   1.408|      1.030804e+00|            1.177299e-01|
|GRB131128629|23 41 13.9|+31 18 23|2013-11-28 15:06:25.283|   1.984|      1.100873e+00|            1.371049e-01|
|GRB130924910|05 14 21.6|+39 15 36|2013-09-24 21:51:01.640|   1.792|      1.111637e+00|            1.488124e-01|
|GRB120205285|16 13 40.1|+25 54 00|2012-02-05 06:51:05.307|   0.576|      1.123099e+00|            3.385567e-01|
|GRB160211119|08 12 48.0|+53 25 48|2016-02-11 02:50:48.276|   0.960|      1.141250e+00|            1.648414e-01|
|GRB161110179|16 59 38.4|-60 37 12|2016-11-10 04:17:51.739|   1.792|      1.145899e+00|            2.171332e-01|
|GRB141111435|03 24 52.8|+43 01 12|2014-11-11 10:26:59.591|   1.728|      1.146950e+00|            4.712629e-01|
|GRB171011810|11 48 09.6|+26 55 48|2017-10-11 19:26:27.946|   0.480|      1.150991e+00|            1.104288e+00|
|GRB160826938|06 57 50.4|-01 01 12|2016-08-26 22:30:50.878|   1.792|      1.168977e+00|            1.545807e-01|
|GRB120129312|01 46 04.8|-08 30 36|2012-01-29 07:29:14.054|   1.280|      1.238341e+00|            2.821600e-01|
|GRB180523782|11 13 31.2|+49 27 00|2018-05-23 18:46:28.107|   1.984|      1.249796e+00|            1.704541e-01|
|GRB160821937|18 39 56.9|+62 23 35|2016-08-21 22:29:13.333|   1.088|      1.298488e+00|            1.413538e-01|
|GRB141126233|16 15 28.8|+59 59 24|2014-11-26 05:35:56.536|   0.896|      1.322966e+00|            1.927141e-01|
|GRB090616157|06 52 16.8|-03 42 36|2009-06-16 03:45:42.532|   1.152|      1.326185e+00|            1.975938e-01|
|GRB121014638|21 21 26.4|-44 07 12|2012-10-14 15:19:00.585|   0.576|      1.328523e+00|            2.326871e-01|
|GRB150412507|12 27 09.6|+02 54 36|2015-04-12 12:10:36.742|   0.576|      1.339027e+00|            2.117227e-01|
|GRB081024891|21 31 36.0|+21 12 00|2008-10-24 21:22:40.864|   0.640|      1.342097e+00|            1.253934e-01|
|GRB121112806|05 15 55.2|-55 26 24|2012-11-12 19:20:44.265|   1.280|      1.348526e+00|            2.629188e-01|
|GRB090620901|16 05 31.2|-43 01 12|2009-06-20 21:37:35.751|   0.960|      1.357935e+00|            2.689990e-01|
|GRB150715136|10 29 02.4|+23 34 12|2015-07-15 03:15:28.189|   0.384|      1.408043e+00|            1.607402e-01|
|GRB160428412|01 52 45.6|-26 31 12|2016-04-28 09:53:17.762|   0.576|      1.417652e+00|            1.702453e-01|
|GRB120609580|04 29 16.8|+13 00 00|2012-06-09 13:54:35.623|   1.792|      1.418358e+00|            1.248559e-01|
|GRB180123820|08 19 26.4|+30 00 00|2018-01-23 19:40:49.774|   0.320|      1.458732e+00|            2.193865e-01|
|GRB090120627|02 32 24.0|-72 12 00|2009-01-20 15:02:22.759|   1.856|      1.475334e+00|            2.750133e-01|
|GRB120603439|13 15 10.6|+04 19 34|2012-06-03 10:32:09.854|   0.384|      1.479369e+00|            1.187586e-01|
|GRB180131528|20 28 14.4|-43 39 36|2018-01-31 12:39:52.102|   0.960|      1.494702e+00|            3.301607e-01|
|GRB100719311|20 19 28.8|-67 08 24|2010-07-19 07:28:17.623|   1.600|      1.512000e+00|            2.225787e-01|
|GRB081115891|12 42 24.0|+63 18 00|2008-11-15 21:22:28.147|   0.320|      1.515273e+00|            3.537852e-01|
|GRB090717111|16 27 48.0|+22 58 12|2009-07-17 02:40:31.786|   0.384|      1.526829e+00|            2.522981e-01|
|GRB120429003|11 03 55.2|-08 45 36|2012-04-29 00:04:07.264|   1.664|      1.537029e+00|            1.404718e-01|
|GRB180511437|17 11 07.2|+09 04 12|2018-05-11 10:29:52.606|   1.984|      1.586441e+00|            8.919723e-02|
|GRB100101988|04 42 38.4|+18 41 24|2010-01-01 23:42:15.183|   1.984|      1.593876e+00|            2.321820e-01|
|GRB140402007|13 50 22.1|+05 58 16|2014-04-02 00:10:06.998|   0.320|      1.609854e+00|            2.678461e-01|
|GRB130622615|20 50 57.6|+24 27 36|2013-06-22 14:45:53.204|   0.960|      1.623777e+00|            1.386607e-01|
|GRB100208386|17 21 00.0|+27 31 48|2010-02-08 09:15:33.942|   0.192|      1.628812e+00|            3.424826e-01|
|GRB150705588|04 26 09.6|-06 37 12|2015-07-05 14:07:11.608|   0.704|      1.632866e+00|            2.254060e-01|
|GRB081102365|15 01 12.0|+22 00 00|2008-11-02 08:45:00.506|   1.728|      1.647145e+00|            1.171084e-01|
|GRB090429753|08 20 50.4|+06 12 00|2009-04-29 18:03:57.512|   0.640|      1.660192e+00|            9.659407e-02|
|GRB121004211|09 09 50.4|-11 01 12|2012-10-04 05:03:18.192|   1.536|      1.661565e+00|            1.748994e-01|
|GRB150721431|16 46 24.0|+20 03 36|2015-07-21 10:21:06.447|   0.320|      1.664527e+00|            2.971427e-01|
|GRB150506972|01 57 00.0|-03 22 12|2015-05-06 23:19:15.198|   0.384|      1.677176e+00|            1.512699e-01|
|GRB120314412|01 11 33.6|-48 43 48|2012-03-14 09:52:34.674|   1.280|      1.687607e+00|            2.629363e-01|
|GRB110605780|16 08 21.6|-03 08 24|2011-06-05 18:42:49.045|   1.536|      1.695827e+00|            1.883291e-01|
|GRB090531775|16 48 14.4|-36 03 00|2009-05-31 18:35:56.492|   0.768|      1.695903e+00|            1.112411e-01|
|GRB090520832|22 08 00.0|+43 12 00|2009-05-20 19:57:53.976|   0.768|      1.700540e+00|            3.711593e-01|
|GRB170726249|11 05 40.8|-34 00 00|2017-07-26 05:58:15.420|   1.792|      1.720957e+00|            1.264444e-01|
|GRB141208632|23 57 02.4|+26 26 24|2014-12-08 15:09:58.319|   0.960|      1.759457e+00|            2.651211e-01|
|GRB101021063|00 01 50.4|+47 20 24|2010-10-21 01:30:31.658|   1.536|      1.770010e+00|            2.084618e-01|
|GRB150522944|08 43 26.4|+58 34 48|2015-05-22 22:38:44.068|   1.024|      1.772600e+00|            1.694876e-01|
|GRB110131780|12 15 09.6|+72 54 36|2011-01-31 18:42:38.573|   0.384|      1.773226e+00|            2.805832e-01|
|GRB150208929|23 22 40.8|+34 53 24|2015-02-08 22:17:18.616|   0.128|      1.775507e+00|            3.075234e-01|
|GRB160714097|15 37 50.6|+63 49 52|2016-07-14 02:19:15.618|   0.320|      1.801773e+00|            2.581049e-01|
|GRB160224911|21 19 28.8|+00 45 00|2016-02-24 21:51:22.871|   0.384|      1.802234e+00|            2.710384e-01|
|GRB150101641|12 32 00.0|-10 57 22|2015-01-01 15:23:34.468|   0.080|      1.806543e+00|            2.549493e-01|
|GRB140724533|20 58 55.2|-01 51 00|2014-07-24 12:47:48.975|   0.896|      1.807066e+00|            2.320780e-01|
|GRB120619884|12 42 57.6|-25 01 12|2012-06-19 21:13:16.913|   0.960|      1.814825e+00|            1.913385e-01|
|GRB081119184|23 06 00.0|+30 00 00|2008-11-19 04:25:27.059|   0.320|      1.827263e+00|            3.660383e-01|
|GRB121124606|05 51 43.2|+49 33 00|2012-11-24 14:32:07.299|   0.256|      1.829441e+00|            3.230704e-01|
|GRB101027230|05 16 04.8|+43 58 12|2010-10-27 05:30:30.762|   1.344|      1.840087e+00|            3.083557e-01|
|GRB110916016|00 16 26.4|+40 21 36|2011-09-16 00:23:01.648|   1.792|      1.843513e+00|            3.644342e-01|
|GRB091006360|16 12 26.4|-31 02 24|2009-10-06 08:38:46.928|   0.192|      1.850577e+00|            2.053344e-01|
|GRB160624477|22 00 45.8|+29 38 38|2016-06-24 11:27:01.353|   0.384|      1.861781e+00|            1.981302e-01|
|GRB110517453|19 44 21.6|-73 45 36|2011-05-17 10:52:35.409|   0.576|      1.868847e+00|            2.587087e-01|
|GRB140610487|13 16 12.0|+35 54 36|2014-06-10 11:41:21.757|   0.960|      1.874744e+00|            2.524893e-01|
|GRB100706693|17 00 38.4|+46 53 24|2010-07-06 16:38:18.924|   0.128|      1.878091e+00|            2.840663e-01|
|GRB180225417|12 03 55.2|-09 29 24|2018-02-25 10:00:54.175|   0.896|      1.878707e+00|            1.860004e-01|
|GRB131004904|19 44 27.6|-02 57 36|2013-10-04 21:41:03.682|   1.152|      1.880822e+00|            1.506155e-01|
|GRB110227009|09 54 52.8|-54 02 24|2011-02-27 00:12:28.226|   1.728|      1.897485e+00|            2.205707e-01|
|GRB131006367|21 41 31.2|-26 37 48|2013-10-06 08:48:21.365|   0.128|      1.903742e+00|            4.187805e-01|
|GRB081213173|00 51 36.0|-33 54 00|2008-12-13 04:09:41.636|   0.256|      1.906316e+00|            2.826296e-01|
|GRB150628767|23 08 04.8|-66 10 48|2015-06-28 18:23:57.191|   0.640|      1.916278e+00|            1.778249e-01|
|GRB140105748|16 51 31.2|+19 01 48|2014-01-05 17:56:32.642|   0.576|      1.921311e+00|            1.951953e-01|
|GRB090927422|22 55 48.0|-70 58 48|2009-09-27 10:07:17.214|   0.512|      1.957364e+00|            2.104805e-01|
|GRB090412061|00 05 12.0|-51 54 00|2009-04-12 01:28:05.253|   0.896|      1.958953e+00|            3.855384e-01|
|GRB100204858|06 05 09.6|-20 56 24|2010-02-04 20:36:03.767|   1.920|      1.960356e+00|            6.072865e-01|
|GRB080815917|16 03 36.0|-47 48 00|2008-08-15 22:00:05.085|   0.832|      1.963516e+00|            2.319483e-01|
|GRB171230119|21 41 09.6|-12 21 00|2017-12-30 02:51:26.141|   1.280|      1.963608e+00|            2.041384e-01|
|GRB130716442|11 58 19.4|+63 03 25|2013-07-16 10:36:53.588|   0.768|      1.972528e+00|            3.373293e-01|
|GRB091223191|13 32 55.2|+76 21 00|2009-12-23 04:35:10.355|   0.576|      2.003411e+00|            2.184766e-01|
|GRB100516396|19 50 43.2|+18 39 36|2010-05-16 09:30:38.317|   0.640|      2.013186e+00|            4.675225e-01|
|GRB110213876|00 25 07.2|+27 32 24|2011-02-13 21:00:51.342|   0.448|      2.018607e+00|            3.174686e-01|
|GRB101104810|10 44 04.8|-07 04 48|2010-11-04 19:26:14.051|   1.280|      2.020606e+00|            1.375242e-01|
|GRB120916085|05 28 09.6|-19 13 12|2012-09-16 02:02:15.905|   1.280|      2.021434e+00|            4.551000e-01|
|GRB111001804|22 40 02.4|-15 19 48|2011-10-01 19:17:58.576|   0.384|      2.022549e+00|            2.841744e-01|
|GRB160603719|13 01 38.4|-22 57 36|2016-06-03 17:15:56.076|   0.384|      2.024510e+00|            2.448619e-01|
|GRB120822628|12 06 52.8|+80 33 36|2012-08-22 15:03:56.399|   1.536|      2.031252e+00|            3.718614e-01|
|GRB080725541|23 39 12.0|+08 54 00|2008-07-25 12:59:23.762|   0.960|      2.035932e+00|            1.601598e-01|
|GRB150629564|20 30 36.0|-26 27 00|2015-06-29 13:32:40.688|   1.920|      2.037026e+00|            1.381563e-01|
|GRB141113346|11 24 04.8|+80 15 36|2014-11-13 08:17:43.503|   0.448|      2.040474e+00|            2.712104e-01|
|GRB081229187|11 30 24.0|+56 54 00|2008-12-29 04:29:01.880|   0.768|      2.048745e+00|            2.455025e-01|
|GRB130404877|01 53 09.6|+56 29 24|2013-04-04 21:02:11.029|   0.960|      2.063333e+00|            3.248606e-01|
|GRB160314473|10 47 57.6|+02 49 48|2016-03-14 11:21:25.488|   1.664|      2.071547e+00|            3.404702e-01|
|GRB140526571|09 31 57.6|-10 57 00|2014-05-26 13:42:54.719|   0.064|      2.071681e+00|            3.471330e-01|
|GRB110728056|11 06 24.0|+20 06 36|2011-07-28 01:20:22.816|   0.704|      2.077452e+00|            2.362044e-01|
|GRB101224227|19 03 42.2|+45 42 54|2010-12-24 05:27:13.862|   1.728|      2.084099e+00|            2.316309e-01|
|GRB140105065|13 52 52.8|+50 10 12|2014-01-05 01:33:01.014|   1.088|      2.085971e+00|            1.463781e-01|
|GRB120629565|11 44 38.4|-00 36 00|2012-06-29 13:34:11.681|   0.704|      2.087149e+00|            3.492110e-01|
|GRB170827818|03 15 09.6|-65 22 48|2017-08-27 19:38:04.465|   0.832|      2.091130e+00|            1.607564e-01|
|GRB150214293|22 50 19.2|-34 10 12|2015-02-14 07:01:22.650|   0.192|      2.130927e+00|            2.102584e-01|
|GRB110509475|04 58 36.0|-26 58 48|2011-05-09 11:24:15.579|   0.640|      2.136257e+00|            1.517843e-01|
|GRB130705398|10 25 12.0|+47 24 36|2013-07-05 09:33:03.959|   0.128|      2.143248e+00|            2.862388e-01|
|GRB170711713|18 34 26.4|+17 14 24|2017-07-11 17:06:36.477|   1.152|      2.156071e+00|            2.082043e-01|
|GRB171219279|17 58 28.8|-18 01 48|2017-12-19 06:42:17.079|   1.152|      2.162148e+00|            2.339366e-01|
|GRB150412931|14 41 02.4|+20 07 48|2015-04-12 22:20:36.202|   0.640|      2.166255e+00|            2.126246e-01|
